1001	كام عدد ساعات العمل القانونية في اليوم؟
1002	الشغلانة المفروض الواحد يشتغلها في اليوم بتاخد كام ساعة حسب القانون؟
1003	القانون بيقول الواحد يشتغل كام ساعة في اليوم بحد أقصى؟
1004	يعني لو الواحد اشتغل باليومية، القانون محدد كام ساعة شغل في اليوم الواحد؟
1005	أقل حاجة الواحد لازم يشتغلها في اليوم كام ساعة عشان تبقى قانونية ومفيش مخالفة؟
1006	طبقا للقانون، اليومية بتاعة الشغل تتحدد على أساس كام ساعة عمل؟
1007	هل ممكن يطلب مني الشغل أكتر من 8 ساعات في اليوم؟
1008	ينفع الشركة تطلب مني أشتغل فوق الـ 8 ساعات في اليوم الواحد؟ (تركيز على إمكانية الطلب من الشركة)
1009	ممكن الشغل يلزمني إني أداوم أكتر من 8 ساعات يومياً؟ (تركيز على الإلزام و المداومة)
1010	هل وارد إني أضطر أشتغل زيادة عن الـ 8 ساعات في اليوم في الشغل ده؟ (تركيز على احتمال الاضطرار و الزيادة)
1011	الشغل ممكن يوصل لعدد ساعات أكتر من 8 ساعات في اليوم؟ (تركيز على إمكانية وصول عدد الساعات إلى أكثر من 8)
1012	فيه احتمال إني أشتغل ورديات أطول من 8 ساعات في اليوم الواحد في الشغل ده؟ (تركيز على الوردية و طولها)
1013	كام عدد ساعات العمل القانونية في الأسبوع؟
1014	الشغل المفروض نشتغله في الأسبوع كام ساعة حسب القانون؟
1015	القانون بيقول إننا المفروض نشتغل كام ساعة في الأسبوع كحد أقصى؟
1016	عدد ساعات العمل الأسبوعية اللي القانون بيحددها أد إيه؟
1017	مسموح لينا نشتغل كام ساعة في الأسبوع بالكتير من غير مخالفة للقانون؟
1018	لو واحد شغال باليومية، كام ساعة عمل في الأسبوع تعتبر قانونية؟
1019	ساعات الراحة (زي الغداء أو فترات راحة) بتتحسب ضمن الـ8 ساعات؟
1020	هل وقت الفسح، زي أكل العيش أو البريك، جزء من الـ 8 ساعات شغل الرسميين؟
1021	يعني الواحد لما بياخد وقت عشان ياكل أو يستريح شوية، بيتخصم من الـ 8 ساعات بتوع الشغل ولا محسوبين عليهم؟
1022	هل وقت الراحة اللي بناخده في الشغل، سواء للغدا أو غيره، بنعتبره من ضمن مدة الشغل اللي هي 8 ساعات؟
1023	البريكات اللي بناخدها في الشغل، زي وقت الأكل، بتتضاف على الـ 8 ساعات شغل ولا لأ؟
1024	لو باخد بريك غدا أو أي راحة تانية في الشغل، ده بيعتبر من ضمن الـ 8 ساعات بتوع الشغل ولاّ بيتحسب وقت إضافي؟
1025	القانون بيقول ناخد فترة راحة (غداء) كام ساعة في اليوم؟
1026	بصراحة، حسب القانون، وقت الراحة (الغداء) المفروض يكون قد إيه في اليوم الواحد؟
1027	يا ترى القانون محدد فترة استراحة غداء مدتها قد إيه في شغل اليوم؟
1028	القانون بينص على وقت راحة قد إيه للغداء خلال اليوم؟ عايزين نعرف المدة بالظبط.
1029	إيه المدة القانونية اللي المفروض ناخدها كاستراحة غداء في اليوم الواحد؟
1030	يعني القانون بيحدد وقت راحة للغداء كام ساعة في اليوم؟ عشان بس نبقى عارفين حقنا.
1031	لازم بعد كام ساعة شغل ناخد استراحة؟
1032	كل قد إيه شغل الواحد محتاج يريح شوية؟
1033	بعد شغل مدته قد إيه لازم نفصل ونريح أعصابنا؟
1034	يعني المفروض نشتغل كام ساعة قبل ما ناخد بريك؟
1035	الواحد المفروض يستريح كل كام ساعة شغل يعني؟
1036	أحسن حاجة الواحد ياخد راحة بعد كام ساعة شغل متواصل؟
1037	الراحة الأسبوعية كام ساعة بعد 6 أيام شغل متصلة؟
1038	بعد ستة أيام شغل ورا بعض، المفروض آخد راحة قد إيه في الأسبوع؟
1039	لو اشتغلت 6 أيام في الأسبوع من غير فاصل، يبقى ليا كام ساعة راحة أسبوعية؟
1040	في حالة الشغل ستة أيام متواصلين، عدد ساعات الراحة الأسبوعية المتاحة بيكون كام؟
1041	أنا شغال 6 أيام أسبوعياً، طيب إجمالي عدد ساعات الراحة الأسبوعية بتاعتي كام؟
1042	لو الدوام 6 أيام في الأسبوع، إيه هو الحد الأدنى لساعات الراحة اللي المفروض آخدها أسبوعياً؟
1043	يعني ليّ يوم راحة كامل كل أسبوع بأجره؟
1044	هو أنا من حقي آخد يوم إجازة مدفوعة الأجر كل أسبوع؟
1045	ينفع أطلب إجازة يوم في الأسبوع الواحد بفلوسها؟
1046	فيه إمكانية إني أغيب يوم كامل كل أسبوع و المرتب بتاعي مينقصش؟
1047	هل من النظام إني أريح يوم كل أسبوع و اليوم ده يتحسب لي فلوس؟
1048	ممكن أعرف، ينفع آخد يوم أجازة بأجر كامل كل أسبوع ولا لأ؟
1049	هل مسموح لهم يشتغلوا يوم الأحد مثلاً بدل إجارتهم الأسبوعية؟ القانون قال إيه؟
1050	ينفعوا يعوّضوا شغل الأحد بإيجار الأسبوع؟ يعني القانون سامح بكده ولا إيه النظام بالظبط؟
