m-0000	"سورة الفاتحة سميت هذه السورة بالفاتحة لأنه يفتتح بها القرآن العظيم وتسمى المثاني لأنها تقرأ في كل ركعة ولها أسماء أخر أبتدئ قراءة القرآن باسم الله مستعينا به الله علم على الرب تبارك وتعالى المعبود بحق دون سواه وهو أخص أسماء الله تعالى ولا يسمى به غيره سبحانه الرحمن ذي الرحمة العامة الذي وسعت رحمته جميع الخلق الرحيم بالمؤمنين وهما اسمان من أسمائه تعالى يتضمنان إثبات صفة الرحمة لله تعالى كما يليق بجلاله
 الحمد لله رب العالمين الثناء على الله بصفاته التي كلها أوصاف كمال وبنعمه الظاهرة والباطنة الدينية والدنيوية وفي ضمنه أمر لعباده أن يحمدوه فهو المستحق له وحده وهو سبحانه المنشئ للخلق القائم بأمورهم المربي لجميع خلقه بنعمه ولأوليائه بالإيمان والعمل الصالح
 الرحمن الذي وسعت رحمته جميع الخلق الرحيم بالمؤمنين وهما اسمان من أسماء الله تعالى
 وهو سبحانه وحده مالك يوم القيامة وهو يوم الجزاء على الأعمال وفي قراءة المسلم لهذه الآية في كل ركعة من صلواته تذكير له باليوم الآخر وحث له على الاستعداد بالعمل الصالح والكف عن المعاصي والسيئات
"
m-0001	"إنا نخصك وحدك بالعبادة ونستعين بك وحدك في جميع أمورنا فالأمر كله بيدك لا يملك منه أحد مثقال ذرة وفي هذه الآية دليل على أن العبد لا يجوز له أن يصرف شيئا من أنواع العبادة كالدعاء والاستغاثة والذبح والطواف إلا لله وحده وفيها شفاء القلوب من داء التعلق بغير الله ومن أمراض الرياء والعجب والكبرياء
 دلنا وأرشدنا ووفقنا إلى الطريق المستقيم وثبتنا عليه حتى نلقاك وهو الإسلام الذي هو الطريق الواضح الموصل إلى رضوان الله وإلى جنته الذي دل عليه خاتم رسله وأنبيائه محمد صلى الله عليه وسلم فلا سبيل إلى سعادة العبد إلا بالاستقامة عليه
"
m-0002	"طريق الذين أنعمت عليهم من النبيين والصديقين والشهداء والصالحين فهم أهل الهداية والاستقامة ولا تجعلنا ممن سلك طريق المغضوب عليهم الذين عرفوا الحق ولم يعملوا به وهم اليهود ومن كان على شاكلتهم والضالين وهم الذين لم يهتدوا فضلوا الطريق وهم النصارى ومن اتبع سنتهم وفي هذا الدعاء شفاء لقلب المسلم من مرض الجحود والجهل والضلال ودلالة على أن أعظم نعمة على الإطلاق هي نعمة الإسلام فمن كان أعرف للحق وأتبع له كان أولى بالصراط المستقيم ولا ريب أن أصحاب رسول الله صلى الله عليه وسلم هم أولى الناس بذلك بعد الأنبياء عليهم السلام فدلت الآية على فضلهم وعظيم منزلتهم رضي الله عنهم ويستحب للقارئ أن يقول في الصلاة بعد قراءة الفاتحة آمين ومعناها اللهم استجب وليست آية من سورة الفاتحة باتفاق العلماء ولهذا أجمعوا على عدم كتابتها في المصاحف
"
m-0003	"هذه الحروف وغيرها من الحروف المقطعة في أوائل السور فيها إشارة إلى إعجاز القرآن فقد وقع به تحدي المشركين فعجزوا عن معارضته وهو مركب من هذه الحروف التي تتكون منها لغة العرب فدل عجز العرب عن الإتيان بمثله مع أنهم أفصح الناس على أن القرآن وحي من الله
 ذلك القرآن هو الكتاب العظيم الذي لا شك أنه من عند الله فلا يصح أن يرتاب فيه أحد لوضوحه ينتفع به المتقون بالعلم النافع والعمل الصالح وهم الذين يخافون الله ويتبعون أحكامه
"
m-0004	"وهم الذين يصدقون بالغيب الذي لا تدركه حواسهم ولا عقولهم وحدها لأنه لا يعرف إلا بوحي الله إلى رسله مثل الإيمان بالملائكة والجنة والنار وغير ذلك مما أخبر الله به أو أخبر به رسوله والإيمان كلمة جامعة للإقرار بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره وتصديق الإقرار بالقول والعمل بالقلب واللسان والجوارح وهم مع تصديقهم بالغيب يحافظون على أداء الصلاة في مواقيتها أداء صحيحا وفق ما شرع الله لنبيه محمد صلى الله عليه وسلم ومما أعطيناهم من المال يخرجون صدقة أموالهم الواجبة والمستحبة
 والذين يصدقون بما أنزل إليك أيها الرسول من القرآن وبما أنزل إليك من الحكمة وهي السنة وبكل ما أنزل من قبلك على الرسل من كتب كالتوراة والإنجيل وغيرهما ويصدقون بدار الحياة بعد الموت وما فيها من الحساب والجزاء تصديقا بقلوبهم يظهر على ألسنتهم وجوارحهم وخص يوم الآخرة لأن الإيمان به من أعظم البواعث على فعل الطاعات واجتناب المحرمات ومحاسبة النفس
 أصحاب هذه الصفات يسيرون على نور من ربهم وبتوفيق من خالقهم وهاديهم وهم الفائزون الذين أدركوا ما طلبوا ونجوا من شر ما منه هربوا
"
m-0005	"إن الذين جحدوا ما أنزل إليك من ربك استكبارا وطغيانا لن يقع منهم الإيمان سواء أخوفتهم وحذرتهم من عذاب الله أم تركت ذلك لإصرارهم على باطلهم
 طبع الله على قلوب هؤلاء وعلى سمعهم وجعل على أبصارهم غطاء بسبب كفرهم وعنادهم من بعد ما تبين لهم الحق فلم يوفقهم للهدى ولهم عذاب شديد في نار جهنم
"
m-0006	"ومن الناس فريق يتردد متحيرا بين المؤمنين والكافرين وهم المنافقون الذين يقولون بألسنتهم صدقنا بالله وباليوم الآخر وهم في باطنهم كاذبون لم يؤمنوا
 يعتقدون بجهلهم أنهم يخادعون الله والذين آمنوا بإظهارهم الإيمان وإضمارهم الكفر وما يخدعون إلا أنفسهم لأن عاقبة خداعهم تعود عليهم ومن فرط جهلهم لا يحسون بذلك لفساد قلوبهم
 في قلوبهم شك وفساد فابتلوا بالمعاصي الموجبة لعقوبتهم فزادهم الله شكا ولهم عقوبة موجعة بسبب كذبهم ونفاقهم
 وإذا نصحوا ليكفوا عن الإفساد في الأرض بالكفر والمعاصي وإفشاء أسرار المؤمنين وموالاة الكافرين قالوا كذبا وجدالا إنما نحن أهل الإصلاح
 إن هذا الذي يفعلونه ويزعمون أنه إصلاح هو عين الفساد لكنهم بسبب جهلهم وعنادهم لا يحسون
 وإذا قيل للمنافقين آمنوا مثل إيمان الصحابة وهو الإيمان بالقلب واللسان والجوارح جادلوا وقالوا أنصدق مثل تصديق ضعاف العقل والرأي فنكون نحن وهم في السفه سواء فرد الله عليهم بأن السفه مقصور عليهم وهم لا يعلمون أن ما هم فيه هو الضلال والخسران
 هؤلاء المنافقون إذا قابلوا المؤمنين قالوا صدقنا بالإسلام مثلكم وإذا انصرفوا وذهبوا إلى زعمائهم الكفرة المتمردين على الله أكدوا لهم أنهم على ملة الكفر لم يتركوها وإنما كانوا يستخفون بالمؤمنين ويسخرون منهم
 الله يستهزئ بهم ويمهلهم ليزدادوا ضلالا وحيرة وترددا ويجازيهم على استهزائهم بالمؤمنين
 أولئك المنافقون باعوا أنفسهم في صفقة خاسرة فأخذوا الكفر وتركوا الإيمان فما كسبوا شيئا بل خسروا الهداية وهذا هو الخسران المبين
"
m-0007	"حال المنافقين الذين آمنوا ظاهرا لا باطنا برسالة محمد صلى الله عليه وسلم ثم كفروا فصاروا يتخبطون في ظلمات ضلالهم وهم لا يشعرون ولا أمل لهم في الخروج منها تشبه حال جماعة في ليلة مظلمة وأوقد أحدهم نارا عظيمة للدفء والإضاءة فلما سطعت النار وأنارت ما حوله انطفأت وأعتمت فصار أصحابها في ظلمات لا يرون شيئا ولا يهتدون إلى طريق ولا مخرج
 هم صم عن سماع الحق سماع تدبر بكم عن النطق به عمي عن إبصار نور الهداية لذلك لا يستطيعون الرجوع إلى الإيمان الذي تركوه واستعاضوا عنه بالضلال
 أو تشبه حال فريق آخر من المنافقين يظهر لهم الحق تارة ويشكون فيه تارة أخرى حال جماعة يمشون في العراء فينصب عليهم مطر شديد تصاحبه ظلمات بعضها فوق بعض مع قصف الرعد ولمعان البرق والصواعق المحرقة التي تجعلهم من شدة الهول يضعون أصابعهم في آذانهم خوفا من الهلاك والله تعالى محيط بالكافرين لا يفوتونه ولا يعجزونه
 يقارب البرق من شدة لمعانه أن يسلب أبصارهم ومع ذلك فكلما أضاء لهم مشوا في ضوئه وإذا ذهب أظلم الطريق عليهم فيقفون في أماكنهم ولولا إمهال الله لهم لسلب سمعهم وأبصارهم وهو قادر على ذلك في كل وقت إنه على كل شيء قدير
"
m-0008	"نداء من الله للبشر جميعا أن اعبدوا الله الذي رباكم بنعمه وخافوه ولا تخالفوا دينه فقد أوجدكم من العدم وأوجد الذين من قبلكم لتكونوا من المتقين الذين رضي الله عنهم ورضوا عنه
 ربكم الذي جعل لكم الأرض بساطا لتسهل حياتكم عليها والسماء محكمة البناء وأنزل المطر من السحاب فأخرج لكم به من ألوان الثمرات وأنواع النبات رزقا لكم فلا تجعلوا لله نظراء في العبادة وأنتم تعلمون تفرده بالخلق والرزق واستحقاقه العبودية
"
m-0009	"وإن كنتم أيها الكافرون المعاندون في شك من القرآن الذي نزلناه على عبدنا محمد صلى الله عليه وسلم وتزعمون أنه ليس من عند الله فهاتوا سورة تماثل سورة من القرآن واستعينوا بمن تقدرون عليه من أعوانكم إن كنتم صادقين في دعواكم
 فإن عجزتم الآن وستعجزون مستقبلا لا محالة فاتقوا النار بالإيمان بالنبي صلى الله عليه وسلم وطاعة الله تعالى هذه النار التي حطبها الناس والحجارة أعدت للكافرين بالله ورسله
"
